wikidata,studentCount,studentYear,establishedYear,officialWebsite
Q28173508,,,2008,https://www.jagannathuniversity.org
Q105627938,,,2010,https://www.kesdammedan.ac.id
Q806480,,,1984,https://www.bu.ac.th/en
Q138860117,,,,https://yppddisidrap.ac.id
Q370968,,,1991,https://nbu.bg/
Q4198178,,,1931,
Q12061476,,,1970,
Q15055136,,,1975,https://www.iub.edu.pk/
Q6039120,,,2011,https://www.actuaries.org.uk/
Q30293800,,,,
Q140868523,,,1994,https://irrpp.uic.edu
Q1634522,43140,,1969,https://uqam.ca/
Q12523476,,,1978,https://untri.ac.id
Q616359,20285,,1949,https://www.aoyama.ac.jp/
Q129343195,,,2023,
Q8052583,,,1921,
Q109911898,,,2020,https://www.politeknikcendana.ac.id
Q6754392,,,1997,
Q999763,42700,,1971,https://www.pantheonsorbonne.fr
Q6165999,,,1972,https://www.jntuh.ac.in
Q4824314,6,,1968,
Q1100801,15247,,1964,
Q1131055,,,1909,
Q659255,13265,,1963,https://uwf.edu/
Q1812600,1162,,1901,https://www.brooklaw.edu/
Q2380350,91,,1983,
Q109922405,,,1983,https://www.stie-kusumanegara.ac.id
Q4466158,,,1930,
Q17059964,,,,
Q11071713,5933,,1965,
Q5303979,,,1994,
Q1629641,4554,,1856,https://wou.edu/
Q4398496,,,1929,
Q12964849,,,2001,
Q7285407,,,1885,
Q4304228,,,1996,
Q6727868,13057,,1912,https://madisoncollege.edu
Q5329352,15000,,1962,
Q7902782,3804,,1946,
Q1209733,42928,,1934,https://tu.ac.th/
Q5168854,,,2004,
Q4476765,,,1992,
Q5520850,,,1956,
Q138460626,,,1991,https://iguala.tecnm.mx
Q5575088,,,1691,
Q18590697,,,2004,
Q1187271,,,1994,https://polyu.edu.hk
Q2067315,26069,,1607,https://www.unica.it/
Q10387860,,,1981,
Q8030333,,,2007,
Q3228965,,,1846,
Q482713,,,1939,
Q1378099,,,1972,https://www.eui.eu/
Q10829182,,,,https://dainam.edu.vn/
Q30265544,,,1996,
Q5957303,,,1982,https://sari.iau.ir/
Q5922476,,,1977,
Q6433117,,,1941,
Q5643024,,,1969,https://hallmarkuniversity.edu/
Q4186453,,,1932,
Q61931995,,,2017,https://vamia.fi/en/
Q136803539,,,2012,https://nilgiricollege.ac.in/
Q3551565,,,2004,
Q1737734,10600,,1949,https://www.keele.ac.uk/
Q5120233,,,1924,
Q4809174,,,,
Q1781044,122247,,1948,
Q4478869,,,1943,
Q30294010,,,,
Q28223078,,,2011,
Q14957044,,,2005,
Q30294257,,,2001,https://www.univ-oeb.dz/
Q12523381,,,1991,https://www.umb.ac.id
Q7990705,6099,,1946,
Q30294560,,,,
Q4701848,,,2007,https://aku.edu.et/
Q6156393,,,1970,
Q10299362,,,2008,
Q3440920,,,2008,https://iitgn.ac.in
Q7081072,,,1903,
Q12432,7074,,1885,https://www.mtu.edu/
Q11605452,,,2011,https://www.junshin-u.ac.jp/
Q1248737,2801,,1952,https://www.uog.edu/
Q138859922,,,,https://www.ikon.edu.au
Q2324554,,,,
Q6452121,,,1904,
Q7420800,,,1886,https://www.sguc.ac.jp
Q5945074,,,1987,
Q50039915,,,1997,https://www.amfa.edu.au/
Q12486123,,,2021,https://uinsaid.ac.id/
Q131876904,,,2015,https://muast.ac.zw
Q12523393,,,1986,https://ummat.ac.id/id/
Q1320232,6000,,1878,https://www.udmercy.edu/
Q30263459,,,2011,
Q7018497,2053,,1998,
Q3091754,,,1975,https://bathspa.ac.uk/
Q4507421,10384,,1770,
Q138859686,,,2024,https://sis.vnu.edu.vn
Q7894375,25846,,1960,https://www.ufg.br/
Q5146800,,,1962,
Q135738561,,,1993,https://www.unb.ca/mmfc/index.html
Q6020630,,,2011,https://www.iimkashipur.ac.in
Q4741189,,,2008,https://www.aud.ac.in
Q4351496,3400,,1916,
Q16377048,,,2008,
Q4122945,,,1967,
Q3444269,2651,,1958,
Q43895989,,,1978,
Q3570204,,,1447,
Q54874651,,,,
Q3551515,,,1898,
Q7565336,,,2012,
Q7039426,,,1935,
Q30286792,,,,
Q64143674,,,1951,https://www.chf.de/
Q29178188,,,,
Q138655108,,,2019,https://kuaf.uz
Q1218488,,,1993,https://www.ual.es
Q43895667,,,,https://bhssc.org/
Q55394426,,,2015,
Q7692511,,,1990,
Q141193894,,,,https://kkkelanajaya.mypolycc.edu.my
Q129343597,,,2022,
Q6979241,,,2000,
Q25567328,,,,https://geo.edu.al/
Q1388304,,,2001,https://www.fh-campuswien.ac.at/
Q5064897,5159,,1973,
Q30282338,,,1903,
Q133812005,,,,https://www.phsg.ch/de/ueber-uns/die-phsg/nachhaltige-entwicklung
Q30290313,,,1979,
Q4740262,,,,
Q129343220,,,2023,
Q52620689,,,2016,https://www.unublitar.ac.id
Q30299268,,,1996,https://www.avm.edu.br/novo_site2/iavm.asp
Q109912877,,,2012,
Q18353399,,,1998,
Q113101323,,,2022,https://akuprakasam.ac.in
Q10829174,,,1989,
Q30291790,,,2001,
Q30293735,,,,
Q7895456,,,1938,
Q13018813,,,,https://www.rmutr.ac.th/
Q11494239,,,1983,
Q19843419,,,2014,
Q273466,148,,1926,
Q109912719,,,2006,https://www.stikessatriabhakti.ac.id
Q43896410,,,1951,https://www.eso.ac.uk/
Q5865542,,,,
Q11802875,,,1968,
Q7912058,,,1939,
Q2466285,,,1967,
Q30627109,,,2016,https://www.clujammu.in
Q3152096,,,1985,
Q100942462,,,2009,https://duc.edu.gh/
Q141195570,,,2002,https://www.i-systems.edu.my
Q28954671,,,2008,https://www.respati.ac.id
Q4201524,693,,1962,https://iaia.edu
Q50037796,,,,https://avansplus.nl/
Q6156390,,,1982,
Q30253851,,,,
Q6156610,,,,
Q17014396,,,,
Q7140556,,,2001,
Q109912841,,,2002,
Q140046035,,,,
Q30285930,,,,
Q891337,,,2003,https://www.bolgatu.edu.gh/
Q1306915,,,1971,https://www.soka.ac.jp/
Q7894382,,,2006,https://unipampa.edu.br/
Q6971594,,,2005,https://nu.edu.sd/
Q7801299,,,,
Q1379386,2568,,1992,https://www.nordakademie.de/
Q953299,,,1991,
Q4849134,6028,,1911,
Q17230596,,,,
Q125906317,,,1952,https://www.saice.in/
Q5176480,,,1970,
Q6721877,,,1971,https://www.macewan.ca/
Q16644544,,,1992,
Q30264321,,,1996,
Q11441528,,,1933,
Q132803486,,,2019,https://escuelaradical.edu.mx
Q30271872,,,1940,https://www.tacomahousing.net/
Q30257243,,,1992,
Q5873959,,,2003,
